##BLOCKS= 6,,,,,,,
Plate:,Plate1,1.3,TimeFormat,Endpoint,Absorbance,Reduced,FALSE
,,A1,A2,A3,A4,A5,A6
,,1.099666667,1.044266667,0.981166667,1.019066667,0.959866667,0.956566667
~End,,,,,,,
Group: Std,,,,,,,
Sample,Concentration µg/mL,BackCalcConc,Wells,Value,MeanValue,SD,CV
1,0.4,Error,A7,0.951,0.952,0.071,7.5
 , , ,A8,1.023, , , 
 , , ,A9,0.881, , , 
2,0.2,Error,B7,0.844,0.849,0.046,5.5
 , , ,B8,0.898, , , 
 , , ,B9,0.806, , , 
3,0.1,Error,C7,0.67,0.669,0.032,4.9
 , , ,C8,0.7, , , 
 , , ,C9,0.635, , , 
4,0.05,Error,D7,0.424,0.4,0.023,5.8
 , , ,D8,0.399, , , 
 , , ,D9,0.378, , , 
5,0.02,Error,E7,0.132,0.179,0.046,25.7
 , , ,E8,0.223, , , 
 , , ,E9,0.181, , , 
6,0.01,Error,F7,0.052,0.106,0.064,60.4
 , , ,F8,0.177, , , 
 , , ,F9,0.089, , , 
7,0.005,Error,G7,0.044,0.021,0.021,100.6
 , , ,G8,0.01, , , 
 , , ,G9,0.007, , , 
8,0,Error,H7,0.032,0.017,0.017,96.8
 , , ,H8,0, , , 
 , , ,H9,0.019, , , 
